id,sentence_claim,sentence_premise,relation
3551,"[216, 'A State cannot seek to avoid responsibility for its actions by attempting to cloak the identity of those working on its behalf.']","[130, ""Russia's aggressive stance is a clear threat to the sovereignty, independence and territorial integrity of Ukraine.""]",no relation
3552,"[86, 'We urge the Russian Federation to call back its troops from the Ukrainian border, to stop supporting separatist groups and to cease all other actions aimed at destabilizing Ukraine.']","[6, ""In Donetsk, some of these individuals declared a People's Republic of Donetsk.""]",no relation
3553,"[4545, 'We encourage the OSCE  chairmanship and institutions to pay close attention to  the people in the occupied territory and to the alleviation  of their plight.']","[4321, 'It is probably very easy for my Russian colleague  to pick a few parts of my statement and react to them.']",no relation
3554,"[716, ""To conclude, Australia continues to call on Russia to meet its Geneva commitments, to allow Ukraine's elections on 25 May to proceed without interference or obstruction, which is the right of every sovereign nation, and to exercise its influence over separatist activists in Ukraine towards those ends.""]","[684, 'It will have harmful consequences for the entire region, Europe and beyond.']",no relation
3555,"[3948, ""Today's statement delivered by the Russian  delegation made it sound as if it were not Russia that  invaded, occupied and annexed a part of the Ukrainian  sovereign territory of Crimea last spring.""]","[3739, 'He added that ""in a  few days we will encircle Debaltsevo"", a city that is  12 kilometres outside the ceasefire line established at  Minsk.']",no relation
3556,"[1134, 'Just as Russia and its pro-Russian militia allies engage in a dramatic and dangerous campaign in eastern Ukraine, the Russian Government is spreading some of its most wild propaganda and fantasy stories since the beginning of the crisis.']","[1295, 'We must not lose the opportunity brought about by the Geneva agreement, which is a guarantee for calm in the east of the country and for preserving the territorial unity of Ukraine.']",no relation
3557,"[2755, ""What we see is that  Russia's actions continue to escalate tensions rather  than contribute to a peaceful resolution of the crisis.""]","[2787, 'We condemn in the strongest terms this interference in  Ukrainian internal affairs, which has taken place with  flagrant disregard for its sovereignty and territorial  integrity.']",no relation
3558,"[1110, 'There is no evidence that the Ukrainian Government has targeted Russian nationals or threatened Russia in any way, in stark contrast to the ongoing Russian actions to destabilize eastern Ukraine.']","[1393, 'It was noticeable that for a long period - almost two months after the overthrow of the lawful Government - no one there took up arms for at least a couple of months.']",no relation
3559,"[2123, 'France, together with  its European partners, will continue to support that  engagement between the Russians and the Ukrainians,  in particular within the framework of the format agreed  in Normandy in June.']","[1936, 'Today, colleagues have presented some evidence of the deteriorating situation on the Ukrainian-Russian border.']",no relation
3560,"[2968, 'There is a clear path forward to end the violence in  eastern Ukraine: Russia must withdraw all support to    the separatists; remove all its personnel and assets from  Ukraine; and engage in genuine dialogue with Ukraine.']","[2990, 'Since 5 September, Ukrainian forces and civilians have  been shelled over 2,800 times.']",no relation
3561,"[4516, 'Last is the development of the operational role of  the OSCE in response to certain emerging challenges.']","[4487, 'The current crisis in eastern Ukraine is one of the  most serious and dangerous violations of the founding  principles of the OSCE, penned in Helsinki more than  40 years ago.']",no relation
3562,"[1448, 'The senseless violence unleashed by armed separatists in eastern Ukraine has reached monstrous proportions.']","[1312, 'The strongest condemnation of Rwanda or of any other Council member on the deterioration of the crisis will not solve the Ukrainian conflict.']",no relation
3563,"[509, 'We urge Russia to become part of this collective international effort.']","[225, 'Many countries, including my own, have imposed unilateral sanctions to register the depth of their concern.']",no relation
3564,"[1938, 'I would like to take this opportunity to once again draw the attention of members of the Security Council to the fact that Russia continues to redeploy new forces extremely close to the Ukrainian border.']","[2237, 'That is the  fundamental way to ease the humanitarian situation of  the country, and it will create the necessary conditions  for the provision of humanitarian assistance.']",no relation
3565,"[3657, 'It was by exerting pressure that we were  able to agree to a text at the end of the day.']","[3508, 'He uses the terms ""bandits""  and ""terrorists"".']",no relation
3566,"[3256, 'Kyiv has cast aside all instruments concerning  a political settlement of the internal crisis.']","[3511, 'While the Kyiv Government does  not seem ready to take this up, it is now time to do so  with political courage and to understand that there is no  other way to keep Ukraine whole.']",no relation
3567,"[1341, 'We wouldl ike to say that, despite numerous calls by the international community, the Russian Federation has made no efforts to de-escalate the situation and implement the Geneva agreement.']","[1592, 'We are truly shocked by the number of victims among the civilian population in eastern Ukraine.']",no relation
3568,"[124, 'As a Member of the United Nations, and as a permanent member of the Security Council, Russia is obliged to refrain from the threat or use of force against the territorial integrity and political independence of any State.']","[374, 'Then Mr. Turchynov came the next day and did not seem to agree with him.']",no relation
3569,"[171, 'We should support the Ukrainian authorities in organizing elections, under the best of conditions, that ensure that everyone is represented.']","[242, 'Political and diplomatic channels should continue to be pursued in order to narrow differences and settle the issue within the framework of law and order.']",no relation
3570,"[1107, 'The country that has a right of self-defence, Ambassador Churkin, is Ukraine.']","[1222, 'That has not happened.']",no relation
3571,"[1406, 'The Government did not want to or could not do it themselves.']","[1377, 'But, having taken that first step, the people who made those attempts have nonetheless been unable to stop and have gone on with them.']",no relation
3572,"[2792, 'These agreements remain a good  basis forbringing about an end to the crisis based on three  principles: respect for the ceasefire, monitoring of the  eastern border of Ukraine, and political discussions for  the purposes of finding a lasting solution.']","[2789, 'These elections  violate the letter and the spirit of the Minsk protocol,  which provides for local elections in accordance with  Ukrainian law.']",no relation
3573,"[3516, 'In fact, Russia and the separatists it  supports have taken practically no steps to implement  the September Minsk agreements.']","[3587, '""There will be no more ceasefires or rotations  There will be no attempts to talk about ceasefire  from our side.']",no relation
3574,"[2371, 'Russia will try to solve them in a systematic way.']","[2122, 'With the ceasefire agreed in  Minsk on 5 September, followed by the 19 September  agreement, a diplomatic process has finally begun  between Kyiv and Moscow.']",no relation
3575,"[1474, 'These armed groups do not represent the people of Ukraine; without Russian support, they would wither.']","[1388, 'It is a simple agreement, but it points to a way out of the crisis in the country.']",no relation
3576,"[2477, 'That was a significant  gesture by the Russian Federation, and any criticism in  that regard is unacceptable.']","[2636, 'Since our last briefing, on 24 October (see S/PV.7287), the security situation in Ukraine has  deteriorated further, despite the extensive diplomatic  efforts deployed in the region over the past month.']",no relation
3577,"[4127, ""In addition, the organization's efforts to strengthen  dialogue and cooperation in areas such as arms control  are of relevance, as are initiatives aimed at managing  cross-border movements and the social and political  impact of migration, based on the organization's  commitment to human rights and the promotion of  tolerance and non-discrimination, which are solid  foundations for lasting solutions to the critical problems  affecting the international community.""]","[4339, ""What  was Ukraine's response?""]",no relation
3578,"[134, 'Russia must desist from those steps and address whatever grievances it has through dialogue, starting with the contact group talks scheduled for this coming week.']","[47, 'It is no coincidence that law-enforcement officers were present among the Maidan protestors.']",no relation
3579,"[191, 'It is imperative to protect the rights of the citizens of Ukraine regardless of ethnic background.']","[417, 'They are professional forces carrying weapons - Russian-made weapons, as it happens - and carrying out sophisticated, coordinated military operations across a substantial number of eastern Ukrainian cities.']",no relation
3580,"[4398, ""I hope, therefore,  that we can all be clear today that aggression towards  monitors must stop and that the Mission must be given  unrestricted access to all of Ukraine, including the  disengagement areas and those parts of the border with  Russia that are not under Ukraine's control.""]","[4687, ""The chaos, violence and ongoing loss of life  resulting from Russia's military operations clearly  merit the Council's time.""]",no relation
3581,"[2758, 'Instead, Russia is  taking a cynical and selective approach towards the  agreements while it continues its destabilization of  Ukraine.']","[2678, 'We are concerned about the recent  build-up of Russian troops in the immediate proximity  of the Ukrainian border.']",no relation
3582,"[2033, ""Contrary to Russia's claims, Ukraine is  demonstrating its commitment to implementing the  Minsk agreements.""]","[2229, 'However,  there is a clear path towards an end to the violence in  eastern Ukraine.']",no relation
3583,"[1735, 'Those who are responsible for arming those who use those weapons bear the responsibility for this conflagration.']","[1701, 'Diplomatic efforts to find a peaceful solution to the crisis in eastern Ukraine must continue.']",no relation
3584,"[2267, 'More generally, given the dark picture of the human  rights situation in Ukraine, Rwanda urges all warring  parties to comply with international humanitarian and  human rights law.']","[2555, 'However, that report  was posted on the BBC website for only half a day and  was then taken down.']",no relation
3585,"[2697, 'The killing must stop.']","[2437, 'Militant leaders  have openly stated their intentions to violate the terms of  the ceasefire and their aim of capturing new territories,  including the cities of Mariupol and Sloviansk.']",no relation
3586,"[1451, 'The International Civil Aviation Organization, which provides the international legal framework for the investigation of air accidents, should have a central role to play in ensuring that there is credible and independent international involvement.']","[1498, 'Of the operational SAM.']",no relation
3587,"[4574, 'In that regard,  there is clear potential for greater United Nations-  OSCE collaboration, particularly in the search for  solutions to conflicts in Europe, which the Secretary-  General has identified as a key priority.']","[4629, 'This  human dimension is central to the functioning and the  identity of the OSCE.']",no relation
3588,"[4013, 'I wish to underscore, however, no discussion regarding  one format or another should serve as a pretext to  move away from direct dialogue between Kyiv and the  representatives of the regions, first and foremost the  east.']","[3777, 'More than 5,000 people  have been killed and almost 11,000 maimed since the  conflict began in April 2014.']",no relation
3589,"[1791, ""In line with international standards, ensuring the security of civilian aviation in a State's airspace is that State's responsibility.""]","[1695, 'The escalation of violence in recent days, until its tragic climax yesterday, demonstrates once again that active armed groups in eastern Ukraine are actually well-equipped and well-trained paramilitary forces who enjoy clear external support.']",no relation
3590,"[3482, 'As was stated by the President of Ukraine, Mr. Petro  Poroshenko, despite the escalation of pressure and the  activation of terrorists, Ukraine is ready to sign the  ceasefire agreement, given our full adherence to the  Minsk agreements.']","[3665, 'First they stopped paying  pensions and social benefits, and then imposed a  blockade on humanitarian assistance.']",no relation
3591,"[3078, 'Those are horrific numbers; they are  very striking, even to me.']","[3298, 'In the city of  Stakhanaov, Luhansk district, up to 10 citizens were  killed today as a result of salvoes from multiple rocket  launchers.']",no relation
3592,"[4076, 'Particular attention  should be paid to the impact of climate change on  security.']","[4207, 'Ukraine fully shares and supports the German  chairmanship\'s motto - ""Renewing dialogue,  rebuilding trust, restoring security"".']",no relation
3593,"[1814, 'We consider those provocations acts of aggression on the part of Ukraine against Russian citizens and against its sovereign territory.']","[1544, 'In both instances, the Ukrainian Government believes that the planes were fired on from Russian territory.']",no relation
3594,"[107, 'This instability was written and choreographed in and by Russia.']","[330, 'Russia often positions itself as a prominent fighter against international terrorism, but by sending its special agents to Ukraine to effect diversions and sabotage, it is actually sponsoring terrorism.']",no relation
3595,"[2738, 'Russia must implement the commitment  it made at Minsk to allow the monitoring of its border  with Ukraine, of which only 2 kilometres are currently  observed by the OSCE.']","[2461, 'Our territory has been  illegally occupied and our borders violated.']",no relation
3596,"[2273, 'On the humanitarian level, Chad notes that despite the  Minsk agreement of 5 September, which includes the  ceasefire agreement, the use of heavy weapons and  bombings in inhabited areas continue on a daily basis.']","[2016, ""At a meeting of the OSCE Permanent Council  on 22 October, Russia single-handedly blocked the  extension of the OSCE Observer Mission's activities  along the entire border.""]",no relation
3597,"[4510, 'Next is the revival of conventional arms control  in Europe.']","[4325, 'Let us talk  about everything in the Minsk agreements, not only  about the constitutional amendments and the elections.']",no relation
3598,"[3796, 'More  than a further violation of the ceasefire, this is also a  serious violation of the international humanitarian law  that protects civilians.']","[3980, 'The fact that we were not able to  do so was the result of the sloppy diplomacy conducted  by a number of our colleagues using methods they have  resorted to in the past with respect to the Ukrainian  crisis, when they have come up with wording that  is quite clearly unacceptable to one member of the  Security Council.']",no relation
3599,"[3826, 'We unreservedly support its territorial integrity.']","[4115, 'Those include protecting  fundamental freedoms, which continue to come under  growing pressure in some OSCE States, addressing the  need for greater military transparency and tackling the  protracted conflicts that continue to blight the lives  of people across the OSCE region, most notably in  Georgia.']",no relation
3600,"[2785, 'However, since Ukraine has embarked on the path  of reform, it has been constrained in moving forward.']","[2619, 'Ukraine has also put in motion critically important  reforms to reduce corruption and grant greater  authority to its regions through constitutional reform.']",no relation
3601,"[3699, 'Despite the commitments made  at Minsk to securing continuous monitoring of the  border with verification from the OSCE, hundreds of  kilometres of border remain free for the flow of these  deadly weapons, often under the guise of humanitarian  convoys.']","[3664, 'Measures for the economic reconstruction of  Dombas were replaced by attempts to suppress the  regions beyond their control.']",no relation
3602,"[3929, 'Those responsible for such deplorable acts against  the civilian population must be held accountable, and  we emphasize the absolute necessity for an objective  investigation of the facts that will see that those  responsible are brought to justice.']","[4157, 'It is on this very foundation  that cooperation between the United Nations and the  OSCE should be based.']",no relation
3603,"[2459, 'Moscow must make clear to  the militant authorities that that effort will hinder the  peace process and that the results of that illegal vote,  organized in violation of Ukrainian legislation, will  never be recognized.']","[2281, 'As for the internally displaced persons, Ukraine  has over 400,000.']",no relation
3604,"[3621, 'Since the beginning of January, the armed forces  of Ukraine have fired virtually non-stop on the largest  city in Dombas - Donetsk.']","[3732, 'He said the separatists  would not stop their attacks until they had ""reached  the borders of the former Donetsk region"", bragging  that separatist forces were now ""able to attack in three  directions simultaneously"".']",no relation
3605,"[2543, 'It is time for the other  parties to step up and show their sincere will to engage  in dialogue.']","[2658, 'Any deferral of a political solution based on the  peace agreements will only further exacerbate violence  and instability and bring about a worsening of the  humanitarian situation, which must be addressed.']",no relation
3606,"[1039, 'We urge them to continue to make every effort to ensure that the risks to civilians are minimized.']","[1089, 'How would President Putin respond, if parts of his country were seized, to requests to remove his army from those parts of the country?']",no relation
3607,"[3974, 'This is quite different from the  authorities in Kyiv, who say they mourn the deaths of  civilians but clearly indicate which civilians and from  which regions.']","[3730, 'On Friday 23 January,  the de facto leader of the Russian-backed separatists  in Donetsk, Alexander Zakharchenko, said ""today the  offensive on Mariupol begins"".']",no relation
3608,"[2117, 'We are also following with concern the deteriorating  situation for the people of Crimea.']","[2391, 'That applies  to the killings in the Maidan in February as much as it  does to the tragedy in Odessa on 2 May.']",no relation
3609,"[4744, ""We believe firmly that in order to increase the  OSCE's prestige, it is essential to define its priorities.""]","[4650, 'Russia  and the forces it arms, trains, leads and fights alongside  have perpetuated the conflict for too long.']",no relation
3610,"[3636, ""Is  it that in the areas and cities controlled by the Donetsk  and Luhansk People's Republics we have second class  citizens?""]","[3538, 'Power decided that  she had not been eloquent enough in setting out the  American position, and that her Deputy needed to  repeat some portions of her statement.']",no relation
3611,"[1022, 'The only alternatives they are offering Kyiv are capitulation or partition - and they are suddenly discovering that this mixture can go completely out of control; that nationalism can oblige them to do what they do not want to do; that the thugs act like thugs and, finally, that Ukraine, faced with the impossible choice they wish to impose on it, can hit back.']","[967, 'A sub-unit of the Ukrainian army is using tanks, other heavy artillery and military helicopters to launch rocket striles against protesters and land troops.']",no relation
3612,"[4725, ""Without  Kyiv's acknowledgement of the depravity of those  policies, it is unlikely that anything will change for the  better.""]","[4428, 'We continue to be concerned about threats made  to the Special Monitoring Mission and underscore the  importance of all sides to protect them and their work  in monitoring the situation on the ground.']",no relation
3613,"[78, 'That decision is an important step forward, showing the flexibility and readiness of legitimate Ukrainian authorities to heed its population and engage constructively.']","[225, 'Many countries, including my own, have imposed unilateral sanctions to register the depth of their concern.']",no relation
3614,"[1003, 'These thugs have refused to implement the Geneva agreement that was intended to restore the Ukrainian State on its territory.']","[1132, 'The fact that Russia has chosen to call an emergency meeting in protest is yet another indication that the authorities in Moscow either underestimate the intelligence of the world community or that they are trying to exactly replicate in eastern Ukraine the Charade that they were responsible for in Crimea.']",no relation
3615,"[3680, 'It is important that everyone understand that real  results can be achieved only through direct dialogue  between Kyiv and Donetsk and Luhansk, which the  Ukrainian authorities have shirked thus far, having  chosen a course of suppressing south-eastern Ukraine  by military means.']","[3629, 'On 21 January approximately 10  civilians died as a result of the shelling of the city of  Stakhanov, Luhansk oblast, using Uragan multiple  rocket launcher systems.']",no relation
3616,"[1740, ""That is the reason for the European Union's decision to impose tougher sanctions.""]","[1464, 'On 14 July, armed separatists shot down an An-26 transport aircraft with a surface-to-air missile.']",no relation
3617,"[2123, 'France, together with  its European partners, will continue to support that  engagement between the Russians and the Ukrainians,  in particular within the framework of the format agreed  in Normandy in June.']","[2406, 'The  Ukrainian film director Oleg Sentsov is also being  illegally held captive.']",no relation
3618,"[4685, ""We must retain the Council's focus on Ukraine.""]","[4711, 'Those platforms should not be used for unfounded  accusations in that regard.']",no relation
3619,"[2060, 'All  sides agreed to 12 commitments on 5 September, and  the Ukrainians have taken action on all those for which  they have a responsibility.']","[2197, 'But of grave concern are the  continuing hostilities in parts of eastern Ukraine, which  have led to well over 300 fatalities - both civilian  and combatants - since the ceasefire began.']",no relation
3620,"[709, 'In those circumstances, it is appropriate and necessary for the Ukrainian Government itself to take measures to try to ensure security and protect its citizens in its own territory.']","[772, 'In fact, the Party of Regions, which represents the rest of the east of the country, was excluded from the process.']",no relation
3621,"[3557, 'We are  participating in the common fight against terrorism.']","[3442, 'On 17 July,  Malaysia Airlines Flight MH-17 was brought down  from a zone controlled by the terrorists.']",no relation
3622,"[3554, 'As to the issue of Ukrainian citizens, the paper  I mentioned is addressed to the Ukrainian citizens  in Donbas who are under the terrorist threat.']","[3599, 'How can they  claim their own air fleet?']",no relation
3623,"[3243, 'The situation on the ground has recently worsened  significantly, with the Donetsk airport becoming  the epicentre of clashes.']","[3159, 'The  OSCE confirmed that those rockets had come from the  direction of the separatist-controlled city of Horlivka.']",no relation
3624,"[2953, 'Australia welcomes the legitimate parliamentary  elections that were held in Ukraine on 26 October.']","[2788, 'As occurred in Crimea in March, so-called  elections were held on 2 November by the separatists  in the part of Donbas that they occupy.']",no relation
3625,"[369, 'But when it came to the south-eastern regions of Ukraine, somehow such tactics were unacceptable.']","[613, 'In addition, Prime Minister Yatsenyuk has publicly committed his Government to undertake far-reaching constitutional reforms that will strengthen the power of the regions.']",no relation
3626,"[4045, 'The OSCE must continue to play  this core role in the context of the international efforts  aimed at resolving the crisis.']","[3824, 'Ukraine made  a decisive contribution to nuclear non-proliferation  when it decided in 1994 to renounce nuclear weapons.']",no relation
3627,"[1726, 'Every day the attacks are ever more deadly.']","[1444, 'Yesterday, Malaysia Airlines passenger flight MH-l7 appears to have been shot down over eastern Ukraine, killing all passengers and crew.']",no relation
3628,"[2402, 'These are Ukrainians, and their rights are being abused  by the militant groups who claim to be protecting them.']","[2404, 'One such is the case of a Ukrainian  servicewoman, Nadiya Savchenko, who was kidnapped  in July on Ukrainian territory by Russian security  services and is currently being kept under illegal arrest  in Russia.']",no relation
3629,"[2136, 'Those who oppose the  election would be demonstrating their rejection of  compromise and peace.']","[2057, 'There is one clear path to recovering peace in  Ukraine.']",no relation
3630,"[3661, 'The escalation of the situation in Dombas  was the result of the Kyiv authorities consistently  rejecting direct dialogue with Donetsk and Luhansk on  the issue of the practical implementation of the Minsk  agreements.']","[3776, 'During this time, an average of  29 people were killed each day.']",no relation
3631,"[175, 'We also call on Russia to fully assume its role as a permanent member of the Security Council.']","[336, 'Ukraine is being subjected to a large-scale terrorist operation orchestrated by the Russian Federation in subregions of the eastern part of the country.']",no relation
3632,"[2940, 'His report was of concern then, but the situation in  eastern Ukraine has now deteriorated much further.']","[3077, 'First, I cannot answer because I do  not know if that is true or what sources of information  are being cited.']",no relation
3633,"[4734, 'But the West  prefers not to notice.']","[4514, 'While a multidimensional approach has  always been at the heart of the functioning of the  OSCE, we are concerned about the tendency of some  member States to increasingly politicize or even refuse  to address human dimension issues.']",no relation
3634,"[2912, 'But the Ukrainian authorities are doing none  of those things.']","[3134, 'On the contrary.']",no relation
3635,"[1564, 'We must treat all of them as our own victims.']","[1358, 'The illegal militants, many of whom are foreign mercenaries, are using heavy firearms against the Ukrainian special forces.']",no relation
3636,"[3721, 'We need to see Russian  actions to put a stop to this widening and increasingly  deadly conflict.']","[3818, 'We have no time to waste.']",no relation
3637,"[268, 'United Nations States Members should respect that process, and there should not be any influence exerted by outside forces.']","[432, 'We see the standoffs on television in Kharkiv, Luhansk and Dnipropetrovsk.']",no relation
3638,"[298, 'Russia has not only been constantly increasing the number of its troops deployed along the Ukrainian border but it has also been sending subversive groups into Ukrainian regions in order to destabilize the situation.']","[41, 'Prime Minister Yatsenyuk went to Donetsk; although he did not meet with the protesters, he did say the right things about dialogue, decentralization and his desire to find a way out of the problem.']",no relation
3639,"[493, 'By contrast, Russia has refused to use its influence to restrain armed groups in the east.']","[678, 'The day before yesterday, pro-Russian separatists took control of the regional public television station in Donetsk.']",no relation
3640,"[496, 'Furthermore, while Ukraine has put a draft law to the Ukrainian Parliament that would provide amnesty for protestors who vacate Government buildings and lay down their weapons, Russia has not rescinded the order by the Russian Parliament to authorize the use of military force in Ukraine and will not condemn the widely reported abuses by pro-Russian armed groups in southern and eastern Ukraine.']","[694, 'It has committed to holding a broad public debate on possible constitutional changes and sought proposals for constitutional reform.']",no relation
3641,"[4132, 'Finally, we would like to stress the importance  of dialogue between the Security Council and the  OSCE, as well as with other international, regional  and subregional organizations, in prevention and crisis  management and tackling issues that are threats to  regional peace and stability in Europe.']","[4256, 'OSCE monitoring reports indicate that the number of  ceasefire violations continues to rise - onjust one day,  24 February, monitors registered nearly 850 explosions  and firing of small and heavy weapons.']",no relation
3642,"[3280, 'Indeed, it  is very strange that those who claim to be civilized can  tolerate such a subversive ideology.']","[3045, 'Contrary to this, on 2 November Russian-backed  terrorists held illegitimate elections for the so-called  presidents and parliaments of illegitimate self-  proclaimed entities in certain areas of the Donetsk  and Luhansk regions.']",no relation
3643,"[1758, 'But the topic today does involve calling once again for the armed groups to cease their violence and demanding that they halt unilateral actions and their violations and trampling of human rights, which do nothing but deepen the crisis and worsen the situation, especially for the civilian population and for the innocent.']","[1816, 'We have repeatedly issued warnings about the danger of trying to resolve the political crisis in Ukraine by force.']",no relation
3644,"[1494, 'We assess that Malaysia Airlines Flight 17, carrying 298 people from Amsterdan to Kuala Lumpur, was likely downed by a surface-to-air missile (SAM) - an SA-11 - operated from a separatist-held location in eastern Ukraine.']","[1585, 'The debris of the Malaysian plane lies in an area controlled by pro-Russian separatists.']",no relation
3645,"[1315, 'In that regard, we need to scale down the rhetoric.']","[1458, 'Despite assurances made yesterday evening, we understand that has not yet happened.']",no relation
3646,"[4577, 'The OSCE represents one of the most advanced  levels of security cooperation in any region in the world.']","[4436, 'As one of the  three co-Chairs of the OSCE Minsk Group, the United  States supports the peaceful settlement of the Nagorno  Karabakh conflict.']",no relation
3647,"[2819, 'It is urgent that the  ceasefire be fully respected, monitored and verified by  the OSCE Special Monitoring Mission, in accordance  with the provisions of the Minsk agreements.']","[2744, 'When the leadership of international organizations  to which Russia belongs issue such statements, one  would expect Russia to listen.']",no relation
3648,"[26, 'Russia, which shares a long border area with Ukraine as well as the broader European region, faces a spillover effect of potentially severe consequences.']","[223, ""International condemnation of Russia's actions against Ukraine in the past six weeks has been resounding.""]",no relation
3649,"[797, 'That was either a provocation by the Kyiv Government or just simple stupidity.']","[547, 'It is up to all Ukrainians to decide their future.']",no relation
3650,"[404, 'Let us ensure that we do not permit the Ukrainian authorities to commit the reckless actions that are currently enshrined in the criminal decree by Mr. Turchynov, and let us stop that decree from being implemented.']","[368, 'And in this, of course, they learned from the experience of the Maidan in Kyiv, where for weeks and months administrative buildings were occupied, and which for some reason our Western partners saw as demonstrations of democracy.']",no relation
3651,"[159, 'One gets the impression that, in denying the facts, Russia is unaware ofthe existence of the Internet and that it serves to contradict its denials.']","[148, ""The Ukrainian Government has stated clearly that its programme of constitutional reform will include discussions on the degree of autonomy devolved to Ukraine's regions.""]",no relation
3652,"[1757, ""Although it is not today's topic, I should like to say that, while there had been encouraging indications that the crisis in Ukraine was entering a phase of waning tension, fears that violent confrontation would continue have not dissipated.""]","[1835, ""They have long been a part okaraine's political life, and have come to the forefront through the protest movements in recent months.""]",no relation
3653,"[1086, 'Their response is reasonable, it is proportional and, frankly, it is what any one of our countries would have done in the face of that threat.']","[1379, 'I would like to remind the Council that, during the several months of crises preceding the overthrow of the lawful administration between 21 and 25 February, our Western colleagues never once called for a halt to the violence perpetrated in Kyiv and other regions of Ukraine against the lawful authorities.']",no relation
3654,"[361, 'It is true that the people in Washington, DC, to whom we did not send the letter, have already poisoned it for the European Union, calling it economic blackmail.']","[473, 'Russian nationals are not under threat in Ukraine - a fact that has been reaffirmed on numerous occasions, including by the United Nations Human Rights Monitoring Mission and by the Commissioner for National Minorities of the Organization for Security and Cooperation in Europe (OSCE).']",no relation
3655,"[2641, ""In that  context, we commend the OSCE Special Monitoring  Mission for its continuing role in verifying the ceasefire  on Ukraine's eastern border.""]","[2623, 'We have said all along that  there is no military solution to the crisis.']",no relation
3656,"[3136, 'Lithuania  rejects all calls to renegotiate the terms ofthe ceasefire.']","[3306, 'The movement of persons and goods is  limited along the lines of engagement.']",no relation
3657,"[2463, 'International law has been trampled and the human  rights of Ukrainian citizens abused.']","[2468, 'To fulfil that goal the terms of the  agreement must be implemented in full by all involved  in the trilateral dialogue.']",no relation
3658,"[3469, 'What is this if not aggression?']","[3213, 'Yet Russia has  taken none of the steps set out in Minsk.']",no relation
3659,"[2946, 'And, in further violation of the Minsk protocols, the  Organization for Security and Cooperation in Europe  (OSCE) has been prevented from monitoring adequately  the Ukraine/Russia border, where Russian troops  appear - once again - to be massing in significant  numbers.']","[2895, 'It has no plural, unlike the word  ""lie"", and in the context of that silenced truth, it would  seem logical that the strengthened rebel positions the  OSCE monitors have seen are in areas that are under  constant attack by the armed forces.']",no relation
3660,"[2362, 'At the same time, ordinary Ukrainians are being  harshly detained under the pretext that they have  been involved in terrorism.']","[2429, 'At present, only two border crossings  are monitored by the OSCE.']",no relation
3661,"[3390, ""However, despite a  number of diplomatic initiatives, including today's  Normandy-format meeting, more than 1,000 people  have been killed since those commitments were made  in September, and separatists have taken control of a  substantial additional area of Ukrainian territory since  the September agreements.""]","[3582, 'The Under-Secretary-General spoke  of the militants withdrawing unilaterally from the  ceasefire.']",no relation
3662,"[1688, 'All parties involved should fully cooperate to that end.']","[1399, 'What bothered me more than anything today was how calmly and approvingly our Western colleagues spoke about the search operations that the Kyiv authorities are now carrying out in eastern Ukraine.']",no relation
3663,"[2085, 'We take very seriously all accusations  regarding harm to civilians and unequivocally condemn    any indiscriminate shelling of civilian areas.']","[2030, 'Yet once again, in spite of the multiple  atrocities committed by the illegal separatist groups,  we have yet to hear a single condemnation of those  crimes by Russia.']",no relation
3664,"[4609, 'Each result obtained in this format  and implemented on the ground counts.']","[4697, 'We have always proceeded from the assumption  that the work of the OSCE is particularly important to  the European continent, and we have always supported  strengthening European institutions and agreements on  treaty and legal regimes in our shared security area.']",no relation
3665,"[1462, 'The MH-17 is not the first aircraft to be brought down in the area.']","[1541, 'According to the Ukrainian Government, she was transferred to Russia by separatists.']",no relation
3666,"[4208, ""It is a very accurate  description of what is needed for the situation not just  within the OSCE's purview but all over the world.""]","[4257, 'The OSCE has  also documented the movement of heavy weapons out  of designated storage sites and placed in areas off-limits  under the Minsk agreements.']",no relation
3667,"[4438, 'We call on the sides to enter  into negotiations and complete confidence-building  measures agreed last spring.']","[4650, 'Russia  and the forces it arms, trains, leads and fights alongside  have perpetuated the conflict for too long.']",no relation
3668,"[379, 'And then suddenly one ofthe United States Deputy Secretaries of State gets up in Congress and says, we know that these talks will not lead anywhere, but we have to occupy the time somehow.']","[83, 'At the same time, when the existence of a State is put in danger, we understand and support the right of Ukraine to defend itself in the face of external aggression and to tackle militant separatism and continuous provocations in order to protect the State and its population from a further escalation of violence.']",no relation
3669,"[397, 'We very much hope that such a high-level meeting will encourage a broad political dialogue in Ukraine and show the way towards a political solution to the crisis.']","[122, 'Coming just weeks after Russian troops illegally deployed to Crimea while wearing uniforms without insignia, these events point clearly to Russia once again interfering directly in the internal affairs of Ukraine while using manufactured pretexts and military force.']",no relation
3670,"[172, 'Our message has always been clear that the presidential election scheduled for 25 May must be free and transparent and guaranteed by the presence of international observers.']","[10, 'United Nations monitors have also reported duelling rallies in Kharkiv today, resulting in injuries to some 50 persons.']",no relation
3671,"[2121, 'Against that bleak backdrop, a new dynamic has  nonetheless emerged.']","[2167, 'The  Special Monitoring Mission of the Organization for  Security and Cooperation in Europe (OSCE) has,  however, not been able to confirm the truth of those  allegations, and we note that Ukraine has denied  that its forces have used such weapons.']",no relation
3672,"[1980, 'The treatment of the Crimean Tatar  population is particularly troubling.']","[2215, 'As Assistant Secretary-General Simonovie  has emphasized this morning, that is particularly  worrying given the onset of winter.']",no relation
