id,ids of components,two_components,relation type
3438,"[3424, 3338]","['Last week again,\nfrom 75 to 115 shelling attacks on Ukrainian positions\ntook place every day.', 'We denounce the\nprovocative statements made by Russian officials']",no relation
3439,"[3042, 2985]","['Many of us have\nseen the ghastly images of the 13 January attack on\na passenger bus, which was struck while waiting at a\nUkrainian security checkpoint at Volnovakha.', 'We must ensure that perpetrators of this reprehensible\nact, and all the countless acts of violence and gross\nviolations of human rights, especially around the areas\nheld by the illegal separatist groups, are brought to\naccount.']",no relation
3440,"[1200, 1180]","['We now welcome the fact that Under-Secretary-General Feltman will be going to the region.', 'Peaceful protesters do not use grenade launchers that can shoot down helicopters, or perhaps planes at some time in the future.']",no relation
3441,"[725, 654]","['He had been travelling as part ofthe presidential campaign.', 'The Geneva declaration of 17 April cannot remain a dead letter.']",no relation
3442,"[2177, 2399]","['Then, on 16 September,\nthe Ukrainian Parliament ratified the law on special\nautonomy for certain regions of Donetsk and Luhansk,\nthe law on amnesty and the immediate release of all\nhostages and detained persons.', 'They will be investigated and those responsible will\nbe held accountable sooner or later.']",no relation
3443,"[3261, 3459]","['First, at Minsk, all sides agreed to secure\ncontinuous monitoring on the Ukraine/Russian border\nand verification by the Organization for Security and\nCooperation in Europe (OSCE) of the creation of a\nsecurity zone in the border regions of Ukraine and\nRussia.', ""All of this, as well as Russia's persistent protectiveness\nof the illegal militants, speak to Russia's direct\ninvolvement in and support for the war in Ukraine.""]",no relation
3444,"[1847, 1714]","['The Minsk\nagreements offer a real prospect of de-escalating\ntensions in eastern Ukraine.', 'violence has been the result of such strategy']",no relation
3445,"[512, 240]","['It provides for the disarmament of illegal armed groups, evacuation of occupied buildings and public places and amnesty for those who lay down their arms, with the exception of individuals with blood on their hands.', ""We call on Russia to work immediately to reduce tensions, stop its destabilization and withdraw its forces from the provocative posture they have assumed on Ukraine's border.""]",no relation
3446,"[3294, 3167]","['which has\nprimary responsibility for aiding and protecting its\npeople.', 'A significant military force in the south-east is\nmade up of the so-called ""volunteer battalions"", which\nare funded by Ukrainian oligarchs and answer to no\none.']",no relation
3447,"[3386, 3544]","['The airport would have remained neutral territory had\nthe Minsk agreements been properly implemented.', 'The attack was just not\nanother refusal of the separatist leadership to abide by\nthe commitments made at Minsk']",no relation
3448,"[1668, 1955]","['Given the complexity of the situation', 'We take very seriously all accusations\nregarding harm to civilians and unequivocally condemn\n\nany indiscriminate shelling of civilian areas.']",no relation
3449,"[4124, 4406]","['to a large extent this exacerbation is due to the\nfact that the Ukrainian armed forces took over a neutral\nspace and began to defend a security zone there with\nheavy weaponry.', 'France is determined, in collaboration with\nGermany, to pursue its mediation efforts using the\nNormandy format.']",no relation
3450,"[569, 395]","['Nearby, three bodies were recently pulled from a river, each showing unmistakable signs of physical abuse; one has been identified as a local politician, another as a 19 year-old pro-unity student activist.', 'Turchynov right now,']",no relation
3451,"[2068, 2198]","[""It is in no one's interest for a new\nconflict to take root on the European continent."", 'they have not\nbeen implemented.']",no relation
3452,"[430, 571]","['small groups of armed people, headed up, inter alia, by agents from the Russian Federation, seize State buildings and take weapons to hand out.', 'Make no mistake: those are not peaceful protests.']",no relation
3453,"[100, 153]","[""Those armed units, some wearing black and orange Saint George's ribbons - associated with Russian Victory Day celebrations - raised Russian and separatist flags over seized buildings and have called for referendums and union with Russia."", 'That is completely unacceptable.']",no relation
3454,"[1594, 1546]","['Once elected, President Poroshenko put forward a comprehensive peace plan and put in place a unilateral ceasefire to create the conditions necessary for its implementation.', 'the perpetrators must be brought swiftly to justice']",no relation
3455,"[1169, 1388]","['that will help to de-escalate the situation and promote a political settlement.', 'We urge Russia to cease its policy of supporting armed separatist groups and their violent actions of destabilizing a neighbouring country and of generating displacement and social and economic hardship.']",no relation
3456,"[3762, 3696]","['Its occurrence, magnitude and\nthe claims made about it by the separatist leadership\nspeak for themselves.', 'The attacks\nagainst civilians are a flagrant violation ofinternational\nlaw.']",no relation
3457,"[2774, 2578]","['No guarantees of\npersonal security for participants in the consultations\nwere provided.', 'Efforts to remove markings\nand insignia from those vehicles cannot disguise the\nfact that they come from Russia.']",no relation
3458,"[2856, 2768]","['Five of these\ntrucks carried 122-millimetre howitzers and five others\ncarried Grads.', 'that\nis a cornerstone of the Minsk agreements, which will\nessentially be made completely null and void.']",no relation
3459,"[2129, 1880]","['The second is promoting genuine dialogue\namong Ukrainians, fostering national reconciliation,\nestablishing self-governance and promoting rights\nfor minorities.', ""As a matter of fact, only one kilometre of the\nentire 400-kilometre segment of the border, currently\nout of Ukraine's control, is being monitored by the\nOSCE.""]",no relation
3460,"[3548, 3822]","['The OSCE Special Monitoring Mission analysis of\nboth attacks indicates clearly that in both incidents the\nrockets were fired from separatist-held territory.', ""we\ncount on the Council's solidarity and actions.""]",no relation
3461,"[1678, 1559]","['During our previous meeting on Ukraine (see S/PV.7205), some Western members of the Council talked about the restraint exercised by the Kyiv authorities in using force.', 'It is time for the equivocation and dissembling and false narratives of some to stop.']",no relation
3462,"[719, 427]","['in the Donetsk region there are already about 10 cases of politically motivated kidnappings of people who were later transported to Kyiv by the special services.', 'There is a difference there.']",no relation
3463,"[3366, 3104]","['He uses the terms ""bandits""\nand ""terrorists"".', 'Kyiv botched the 16 January meeting of the Minsk\ncontact group']",no relation
3464,"[2330, 2065]","['Unfortunately, what we are now seeing is the\ncontinuation of a military build-up by Russia along our\nborder and in north Crimea.', 'It is high\ntime to put an end to this conflict']",no relation
3465,"[526, 504]","['With every moment that passes, the risk of anarchy and bloody incidents grows.', 'We are witnessing a a subversive operation that has been planned, barely disguised and orchestrated by Russia.']",no relation
3466,"[4134, 3945]","['When agreements are reached\nat a high level', 'Thirdly, even more important, what is most needed\nis a truly sustainable ceasefire and genuine political\nwill to restore Ukrainian sovereignty.']",no relation
3467,"[3927, 3660]","['that system is\nseldom left unchallenged', 'We also call on\nRussia to stop supporting the separatists, who are hell-\nbent on destabilizing the situation']",no relation
3468,"[3420, 3531]","['After 29 open briefings and no progress on the\nground, it is hard not to sound repetitive here.', ""we urge the representatives of States\nthat possess some form of influence with Ukraine's\nleadership, especially Washington, DC, to stop egging\non the Ukrainian hawks, covering and justifying their\ninhumane actions, and pushing them towards a military\nsolution to the conflict.""]",no relation
3469,"[3041, 2872]","['With each passing day, more\ncivilians are killed and maimed.', 'We demand that the\nRussian Federation stop using the issue of humanitarian\naid as a cover for delivering illegal supplies of troops,\nmercenaries and weapons to eastern Ukraine.']",no relation
3470,"[1394, 1583]","['the members of the Security Council expressed their condolences and called for an international investigation and appropriate accountability.', 'Those who committed this heinous act must be held accountable.']",no relation
3471,"[1998, 1831]","['With the ceasefire agreed in\nMinsk on 5 September, followed by the 19 September\nagreement, a diplomatic process has finally begun\nbetween Kyiv and Moscow.', 'It is\nessential that independent investigations take place\ninto all serious allegations of violations, whoever the\nperpetrators are.']",no relation
3472,"[3541, 3653]","['the Council had met to raise\nour serious concerns at the escalation in fighting along\nthe agreed ceasefire line (see S/PV.7365).', 'These acts are unacceptable']",no relation
3473,"[3483, 3516]","['The\nlast week was the most difficult for Horlivka since\nlast summer: 107 people died, including 9 children.', 'The escalation of the situation in Dombas']",no relation
3474,"[1694, 1806]","['Our citizens have been killed and wounded.', 'Those actions are incompatible with the obligations of the Russian Federation under the Geneva agreement of 17 April and the Berlin declaration of2 June.']",no relation
3475,"[40, 55]","['Prime Minister Yatsenyuk went to Donetsk; although he did not meet with the protesters, he did say the right things about dialogue, decentralization and his desire to find a way out of the problem.', 'Lithuania is deeply concerned about the sharp deterioration of the situation in eastern Ukraine.']",no relation
3476,"[2779, 2535]","['And we have had enough of the fabrications\nand distortions on this subject.', 'We do not\nrecognize those elections.']",no relation
3477,"[3602, 3572]","['The impartial\nOrganization for Security and Co-operation in Europe\nSpecial Monitoring Mission to Ukraine examined blast\ncraters and concluded that they had been caused by\nGrad rockets fired from multi-rocket launcher systems\nin separatist-controlled areas.', 'We all defend these principles because we do\nnot want a world where borders are redrawn by force,\nwhere States are threatened and destabilized by their\nneighbours, and where innocent civilian populations\nlive in fear of battle orders issued in far-off capitals.']",no relation
3478,"[528, 306]","['If the situation worsens, we will be forced to ratchet up the sanctions once again.', 'The detention of Russian citizen members of subversive groups coordinated by the Russian federal security services and military intelligence is carried out on a daily basis by the security services of Ukraine']",no relation
3479,"[4068, 4135]","['From\nwithin, there is an uneven application of the Helsinki\nnorms, principles and commitments, where some States\nare re-exerting a sphere of influence at the expense of\nother States, while, from without, regional crises and\ntransnational threats are proliferating.', 'Kyiv must be required to implement\nthem.']",no relation
3480,"[1918, 1973]","[""It requires living up to\none's commitments and owning up to one's actions."", 'It has concrete, verifiable commitments, and all must\nbe implemented.']",no relation
3481,"[1383, 1342]","['Russian officials have claimed that armed separatists in eastern Ukraine represent a spontaneous local insurgency.', 'My second point is to debunk yet another of the lies that have been told in this Chamber, because it relates to my country, the United States.']",no relation
3482,"[205, 449]","['We recognize that there are political interests involved.', 'These are all clear attempts to escalate tensions within Ukraine.']",no relation
3483,"[659, 732]","['It has initiated a process of constitutional reform aimed at decentralizing power.', 'Yatsenyuk submitted to the Rada some sort of draft constitution.']",no relation
3484,"[4469, 4202]","['Since the conflict began, more than 10,300 people have\nlost their lives, almost 25,000 have been injured and\n3.4 million are in need of humanitarian assistance,\nparticularly along the line of contact.', 'the rule-based system is under threat.']",no relation
3485,"[1243, 1413]","['We are particularly alarmed by the fresh violence that erupted in Sloviansk over night, including violent attacks targeting two Government helicopters by illegal armed groups.', 'We can rule out shorter-range SAMSs known to be in separatist hands, including man-portable air defence systems, and SA-8 and SA-13 systems, which are not capable of hitting an aircraft at that altitude.']",no relation
3486,"[347, 433]","['They are wanted internationally.', 'It is just as easy for him to call his President and say a few simple things to him as it is for me to do so, so I will repeat them here.']",no relation
3487,"[3949, 3676]","['we will be working\nwith our European Union partners to ensure that\nsanctions remain in place.', 'France remains and will remain\nfully mobilized to achieving a peaceful settlement.']",no relation
3488,"[3328, 3233]","['What is a separate air-assault brigade from\nUlyanovsk doing in the area of Starobeshevo?', 'The worrying surge in violence over the past week\nunderlines the grave threat that the situation in eastern\nUkraine continues to pose to international peace and\nsecurity.']",no relation
3489,"[681, 548]","['Statements by other Security Council members tonight are further confirmation of that.', 'That is, that in the dialogue of constructive diplomacy that was initiated on 17 April with a view to finding a peaceful and political solution to this critical situation, Russia, the United States, the European Union and Ukraine all expressed at Geneva a willingness to reach an agreement.']",no relation
3490,"[2070, 2088]","['which is so important\nto enabling the Council to assess developments in\nUkraine, a task that is clearly needed by us.', 'It is disturbing that Russia has blocked\nthat.']",no relation
3491,"[4524, 4353]","['such as their discriminatory\nlanguage policy, the indulging of neo-Nazist\nmovements, the countless violation of laws by its own\ncitizens and the fomenting of hatred against Russia.', 'We must use all of the diplomatic assets and\n\ninternational instruments at our disposal to make sure\nthat Crimea does not become an exclusion zone with\nregard to basic human rights.']",no relation
3492,"[1002, 916]","['The rest of us are deeply and sincerely concerned by that instability.', 'How else can we interpret yet another blatant example of the double standards wielded by the United States?']",no relation
3493,"[2330, 2368]","['Unfortunately, what we are now seeing is the\ncontinuation of a military build-up by Russia along our\nborder and in north Crimea.', 'I want to reiterate that\nit is irresponsible to voice unverified accounts in the\nSecurity Council.']",no relation
3494,"[567, 395]","['In the city of Sloviansk, the mayor was kidnapped, as were several journalists.', 'Turchynov right now,']",no relation
3495,"[1199, 1119]","[""we expressed support for the Secretary-General's initiatives and called for stepping up international mediation efforts."", 'serve only to escalate the already highly volatile situation']",no relation
3496,"[3830, 3583]","['Secondly, we always condemn the deaths of\ninnocent people, and we stood ready to do so in the case\nof Mariupol as well.', 'Russia and the separatists have once again\nflouted those commitments.']",no relation
3497,"[4012, 4019]","['An important element in establishing a global\nunifying agenda is strengthening the OSCE as a\nformat for dialogue and cooperation with regard to\ntransnational threats and challenges.', 'But for this\none needs to overcome the logic of containment, a mode\nof thinking again prevailing among NATO strategists.']",no relation
3498,"[399, 634]","['We agreed in principle that the meeting would take place among the Minister for Foreign Affairs of the Russian Federation, Secretary of State Kerry, Ms.', 'We welcome the positive steps taken by Ukraine to fulfil the commitments set out in the Geneva statement adopted on 17 April by Ukraine, Russia, the European Union and the United States.']",no relation
3499,"[789, 776]","[""in a threatening tone, Russia recently ordered Ukraine to withdraw Ukrainian troops stationed on Ukraine's own soil, or else - so much for respect for Ukraine's international sovereignty."", 'We therefore welcome the discussion.']",no relation
3500,"[3589, 3613]","['He said the separatists\nwould not stop their attacks until they had ""reached\nthe borders of the former Donetsk region"", bragging\nthat separatist forces were now ""able to attack in three\ndirections simultaneously"".', 'At that point,\nperhaps knowing the source of the weaponry used,\nRussia tried to deny any tie between the separatists\nand the attacks.']",no relation
3501,"[1936, 2139]","['They are the ones being forced to live\nwith no water or electricity and no opportunity to earn\na living, and their children are the ones whose schools\nare in the crossfire.', 'we reiterate our call on all\nillegal armed groups in Ukraine, mainly in the Donetsk\nand Luhansk regions to lay down their arms']",no relation
3502,"[3137, 3299]","['Let me recall\nBandera\'s words: ""I will kill every Pole from 16 to 60\nyears of age"".', 'it occupied and then\nannexed part of the sovereign territory of Ukraine,\nthe Autonomous Republic of Crimea and the city of\nSevastopol.']",no relation
3503,"[1146, 1054]","['It has submitted to Parliament a draft law and amnesty for protesters who surrender their weapons.', 'Since the beginning of the crisis, the Ukrainian Government has acted in good faith and with admirable restraint.']",no relation
3504,"[332, 141]","['We have not imposed a state of emergency as is required by the provisions of the Constitution of Ukraine.', 'Russia must desist from those steps and address whatever grievances it has through dialogue, starting with the contact group talks scheduled for this coming week.']",no relation
3505,"[2443, 2269]","['On 9 November, the OSCE Special Monitoring\nMission reported two convoys of 17 unmarked\ngreen trucks moving west through Donetsk towards\nthe ceasefire line.', 'are public-inspired and people-oriented.']",no relation
3506,"[2855, 2815]","['Yesterday, the OSCE recorded a convoy of\n43 trucks in the eastern part of Donetsk.', 'We are committed to making a full\ninternational return to the MH-l7 crash site when it\nis safe to do so and in the company of our Dutch and\nMalaysian partners.']",no relation
3507,"[51, 223]","['Some people, including in this Chamber, do not wish to recognize the real reasons for the events in Ukraine and are forever seeing the hand of Moscow in the South-East.', 'but what we are actually witnessing is Violence and destabilization in an effort to manufacture a sense of crisis and separatism.']",no relation
3508,"[2329, 2259]","['The Russian\nFederation must cease its illegal supplies of weapons\nand equipment, limit the flow of so-called volunteers\nacross our sovereign border and allow us to re-establish\nproper controls.', 'What everyone, including the\nSecurity Council, should in fact be doing is to help the\nparties to the conflict to maintain complete observance\nof the ceasefire, prevent bloodshed, and engage in an\nhonest and fundamental national dialogue on issues of\nconstitutional reform and rebuilding a Ukrainian State\non a just and inclusive basis.']",no relation
3509,"[2982, 2747]","['Growing evidence points to a systematic use by the\nmilitants of residential areas as a cover for launching\nGrad rockets and shelling the Ukrainian forces.', 'the strengthened rebel positions the\nOSCE monitors have seen are in areas that are under\nconstant attack by the armed forces.']",no relation
3510,"[735, 952]","['the Party of Regions, which represents the rest of the east of the country, was excluded from the process.', ""In reality, Russia has opened a Pandora's box.""]",no relation
3511,"[330, 449]","['In the light of the aforementioned facts, the National Security and Defence Council of Ukraine, pursuant to our anti-terrorism law of 2003, has adopted a decision to launch a large-scale counter-terrorist operation involving the special units of the Ukrainian armed forces.', 'These are all clear attempts to escalate tensions within Ukraine.']",no relation
3512,"[3669, 3429]","['The international community will judge the good faith\nof the parties not on mere statements but on concrete and\nverifiable actions that prove their genuine commitment\nto de-escalation.', ""the Minsk agreements are just another\ncasualty of Russia's aggression against neighbouring\nUkraine""]",no relation
3513,"[1511, 1476]","['Russian military helicopters and drones violate Ukrainian airspace, while 40,000 troops are encamped within minutes of the Ukrainian border, in addition to the 20,000 troops stationed in occupied Crimea.', 'We must treat all of them as our own victims.']",no relation
3514,"[724, 761]","[""On the same day - 28 April - at the Kherson airport, the presidential candidate's plane was blocked."", 'We do not have any aggressive intentions towards Ukraine.']",no relation
3515,"[1229, 1154]","['Ukrainian forces have launched operations against the separatist militants in the eastern part of the city of Sloviansk.', 'In these circumstances, it is appropriate and necessary for the Ukrainian Government to take measures to try to ensure security and protect its own citizens in its own territory.']",no relation
3516,"[2210, 2083]","['There are those\nin Ukraine who truly desire the civilized development\nof their country', 'Any violations of international humanitarian law by\nany party to the conflict must be properly investigated\nand the perpetrators held accountable.']",no relation
3517,"[372, 116]","['on 6 April that the actions were first observed whereby residents of south-eastern areas of Ukraine were seizing certain administrative buildings.', 'We strongly support concluding the agreement between Ukraine and the International Monetary Fund']",no relation
3518,"[2460, 2722]","[""Daddy's power\nis maintained by a group of armed Cossacks, whom he\ncalls his Great Don Army, and four tanks outside his\noffice fly Russian and rebel flags."", 'it must also\nwithdraw its equipment, weapons and troops from\nUkrainian territory and seal its borders to the movement\nof arms and mercenaries into the separatist-held areas.']",no relation
3519,"[3485, 3529]","['Hospitals, 15 schools and dozens of preschools have\nbeen damaged.', 'We are trying, as far\nas possible, to identify contacts for the meeting over the\nnext few days.']",no relation
3520,"[2982, 2902]","['Growing evidence points to a systematic use by the\nmilitants of residential areas as a cover for launching\nGrad rockets and shelling the Ukrainian forces.', 'That is why neither Ukraine nor the international\ncommunity will ever recognize the illegal referendum\nin Crimea or the illegal pseudo-elections in certain\nareas of the Donetsk and Lugansk regions, whatever\ntheir outcomes.']",no relation
3521,"[2138, 1928]","[""we are perturbed by the statement\nof the Prime Minister of the self-proclaimed Donetsk\nPeople's Republic officially declaring the end of the\nceasefire, in the wake of regular violations by armed\nparties."", 'the Ukrainians have taken action on all those for which\nthey have a responsibility.']",no relation
3522,"[3403, 3382]","['We have a right to defend ourselves.', 'The line should not be renegotiated']",no relation
3523,"[3872, 3749]","['But not even once have Ukraine and the world received\neven a briefand meaningful message ofcondolence from\nRussia for the victims killed by its own mercenaries in\nMariupol or Volnovakha.', 'we encourage the parties to work together for its\nimplementation.']",no relation
3524,"[1974, 1862]","['Ukraine has taken real steps to fulfil\nits commitments, while Russia and the separatist it\nbacks have not.', 'Our expectation is that Russia, as a permanent\nmember of the Security Council and as a party to\nthe Minsk agreements, will work to restore peace\nand security in Ukraine by respecting the outcome\nof the elections and by supporting the forthcoming\nlocal elections held under Ukrainian law.']",no relation
3525,"[2782, 2940]","['We get the\nfeeling that it is not very concern about the fate of its\nown people in those regions.', '""There is one truth for everyone.']",no relation
3526,"[4513, 4449]","['Crimeans freely chose\nunification with Russia.', ""The United\nStates commends the OSCE's efforts to resolve the\nconflict in eastern Ukraine.""]",no relation
3527,"[132, 169]","['That is in addition to the 25,000 Russian troops based illegally in Crimea.', 'Let us not forget that such protests were a prelude to the annexation of Crimea.']",no relation
3528,"[1996, 2086]","['Against that bleak backdrop', 'That must stop.']",no relation
3529,"[2904, 2873]","['They undermine any trust placed\nin signatories who fail to keep their word.', 'Contrary to these hostile actions and Russian\npropaganda myths, Ukrainian forces are observing\nthe ceasefire regime.']",no relation
3530,"[775, 991]","['Unanimous decisions and acceptance of whatever is put on the table is something that abelongs to regimes, not democratic Governments.', ""It is therefore regrettable that Russia's presidential press secretary said this morning that Russia did not think it any longer possible to implement the 17 April agreement.""]",no relation
3531,"[3556, 3819]","['Despite the commitments made\nat Minsk to securing continuous monitoring of the\nborder with verification from the OSCE,', 'We will do everything to stop the pain\nand suffering, to return peace to each Ukrainian\nfamily - from Lviv to Luhansk, from Chernihiv\nto Kerch.']",no relation
3532,"[232, 519]","[""Russia's major military build-up along Ukraine's eastern border has been a significant and deliberation provocation that only further escalates tensions and the likelihood of conflict."", 'I commend the restraint and composure of the Ukrainian security forces, who have responded appropriately to the repeated destabilizing actions they are dealing with.']",no relation
3533,"[3829, 3559]","['They continue to View Donbas as\nUkrainian territory.', 'Russia arms the separatists, it finances them, it\nadvises them, and it fights covertly alongside them.']",no relation
3534,"[2702, 2562]","['The list could go on.', 'They also undermine\nthe sovereignty and territorial integrity of Ukraine.']",no relation
3535,"[1553, 1382]","['The Council has just issued a press statement calling for investigation, accountability and immediate access to the crash site.', 'We have to ask searching questions about why we are now confronting this tragic situation.']",no relation
3536,"[520, 654]","['We can only imagine what any other Government would have done in the face of such provocation on its national territory.', 'The Geneva declaration of 17 April cannot remain a dead letter.']",no relation
3537,"[1724, 1802]","['It seems that whatever the Ukrainian Government arbitrarily does is judged favourably, but the victims of the geopolitical ambitions of the Ukrainian regime are actually an entire nation - the people of Ukraine.', 'Russia continues to redeploy new forces extremely close to the Ukrainian border.']",no relation
3538,"[522, 819]","['There has been no condemnation of the separatist actions that have spawned new violence and no call for public buildings to be evacuated.', 'It is time for Russia to live up to its own commitments and to reclaim respect for the Charter of the United Nations and international law.']",no relation
3539,"[1541, 1566]","['There is mounting evidence that the crash was caused by a missile strike and that the aeroplane was brought down over territory not controlled by the Ukrainian authorities.', 'It must end its provocations and any support for separatist forces.']",no relation
3540,"[3479, 3719]","['Overall, 2,367 residential buildings have\nbeen destroyed.', 'to fully consider\nthe complex historical factors and the reality of the\nissue relating to Ukraine']",no relation
3541,"[2018, 2200]","['Those ongoing ceasefire violations', 'There has been no dialogue or promised\nconstitutional reform.']",no relation
3542,"[482, 709]","['The deplorable shooting yesterday of the Mayor of Kharkiv was another sign of the violence being instigated against those who have opted to support a united Ukraine.', 'the Maidan remains occupied - cement blockades are still in place - as are several buildings in Kyiv.']",no relation
3543,"[4521, 4294]","['Resolution 2202 (2015) enshrined the Minsk\nagreements as the basis for settling the situation in\nUkraine.', 'today more than ever, the OSCE serves\nas an indispensable toolbox for the security services in\nEurope, especially on the ground.']",no relation
3544,"[555, 500]","['Again we reiterate that the Council meets in order to promote peace.', 'The violence continues.']",no relation
3545,"[954, 1014]","['They have unleashed bands of thugs on Ukraine.', ""And yet, in return for Ukraine's reasonableness, Russia has destabilized, threatened and terrorized.""]",no relation
3546,"[2433, 2246]","['It also continues to send\nso-called humanitarian convoys - convoys it will not\nallow Ukrainian customs authorities or international\nmonitors to search.', 'ordinary Ukrainians are being\nharshly detained under the pretext that they have\nbeen involved in terrorism.']",no relation
3547,"[1821, 1622]","['We owe it to the victims and their families, as well as to ourselves, to shed full light on what happened yesterday in eastern Ukraine.', 'The answer is too obvious.']",no relation
3548,"[2721, 2825]","['As per the Minsk agreements', 'Russia must withdraw all support to\n\nthe separatists; remove all its personnel and assets from\nUkraine; and engage in genuine dialogue with Ukraine.']",no relation
3549,"[1261, 1532]","['endangering civilians, seizing hostages and creating an atmosphere of terror and violence.', 'The recent situation in Ukraine remains turbulent.']",no relation
3550,"[2662, 2775]","['We are concerned about information with respect to a\npossible foreign military support in eastern Ukraine\nand what the Organization for Security and Cooperation\nin Europe (OSCE) has told us.', 'we find that instead of taking measures\nto rebuild Donbas, the Ukrainian Government has\nestablished a new order for financing its budgetary\ninstitutions and meeting social and pension\npayments - they have simply been cancelled.']",no relation
3551,"[1959, 1951]","['The Government of Ukraine recently\nsubmitted a plan to provide for that monitoring, restore\nUkrainian control on its side of the border, prevent the\nillegal movement of personnel and materiel across the\nborder and create a security zone free of weapons in the\nareas adjacent to the border in Ukraine and the Russian\nFederation.', 'No one is above\nthe law, and the United States supports a full, thorough\nand impartial investigation of all alleged grave sites.']",no relation
3552,"[2016, 2127]","['with daily reports of shelling and\nskirmishes threatening to derail a fragile ceasefire.', 'The position of Rwanda is clear and constant;\nit revolves around three key principles.']",no relation
3553,"[1936, 1849]","['They are the ones being forced to live\nwith no water or electricity and no opportunity to earn\na living, and their children are the ones whose schools\nare in the crossfire.', 'The Government of Ukraine has taken\nimportant steps, including the approval of a special\nstatus for districts of the Donetsk and Luhansk regions\nand an amnesty law which, the OHCHR report notes,\nmeets international human rights standards.']",no relation
3554,"[3817, 3518]","[""We stand for peace, but we accept the enemy's\nchallenge."", 'we noticed\nthe steps taken by the Kyiv forces to strengthen their\nmilitary positions in the south-east.']",no relation
3555,"[4117, 4057]","['deem it\nunacceptable that there have been statements made on\nthe right of certain States to determine the fate of the\nrest of the world.', 'enhancing the OSCE capacities on\nthe ground and reinforcing them with a special police\nmission under the auspices of the OSCE could become\nan effective tool in bringing peace to Donbas.']",no relation
3556,"[2457, 2239]","['Foreign Minister\nLavrov even tried to argue that the elections were part\nof the Minsk agreements, which clearly stipulate that\nthe elections be local and conducted ""in accordance\nwith the law of Ukraine"".', 'But\nthat only points to the need for painstaking work and\ngood-faith international support for the negotiations\nwith a view to ensuring the full implementation of what\nthe representatives of Ukraine and the armed groups\nagreed to in Minsk.']",no relation
3557,"[2633, 2527]","['As occurred in Crimea in March, so-called\nelections were held on 2 November by the separatists\nin the part of Donbas that they occupy.', 'non-compliance with key\nprovisions of the Minsk agreements has led to a new\nescalation of tensions and a worsening situation in\nseveral regions of eastern Ukraine.']",no relation
3558,"[3461, 3169]","['the same\nAlexander Zakharchenko said that thousands of\nRussian citizens, including many professional soldiers,\nwere fighting alongside the separatists.', 'The\nKyiv authorities, while constantly referring to the\nunity and territorial integrity of the country, have not\ntaken a single step towards genuine national dialogue\nor constitutional reform with the participation of all\ngroups and regions.']",no relation
3559,"[2494, 2610]","['It is unfortunate that the deterioration of the\nsecurity situation in Ukraine comes on the heels of\nthe parliamentary elections of 26 October, which were\nviewed as free, fair and peaceful, despite the fact that\nthere were no polling stations in the rebel-held areas.', 'China is concerned about that.']",no relation
3560,"[4167, 4445]","['The Ukrainians did not\nwant a political settlement', 'we strongly support the continuation of its structured\ndialogue on current and future challenges and risks.']",no relation
3561,"[131, 261]","['Yet satellite images show that there are between 35,000 and 40,000 Russian troops in the vicinity of the border with Ukraine, equipped with combat aircraft, tanks, artillery and logistical support units.', 'Argentina will continue to promote\ndialogue and a peaceful settlement of the crisis.']",no relation
3562,"[1921, 2212]","['Ukrainian pilot\nNadiya Savchenko was seized by separatists in Ukraine\nand somehow ended up unlawfully transferred to\nRussia, where she is now being forced to undergo what\nis termed ""psychiatric evaluation"", in which her human\nrights are violated through the use of a practice made\ninfamous in the Soviet Union.', 'The current election\ncampaign is especially characterized by bad faith and\ncynicism.']",no relation
3563,"[2949, 3145]","['I will give the Council the figures.', 'Apparently, he would like Ukraine\nto remain under Nazi occupation even today.']",no relation
3564,"[4536, 4266]","['That is what the Minsk agreements say.', 'The world today is filled with various types of\nchallenges.']",no relation
3565,"[1084, 914]","['which will enable the people of Ukraine to choose their leaders freely and fairly.', 'We insist that all outside interference in the events in Ukraine is unacceptable.']",no relation
3566,"[2809, 2527]","['It\nwas encouraging to note the report from the OSCE\naffiliated Office for Democratic Institutions and\nHuman Rights praising the conduct of the Ukrainian\nparliamentary elections and the impartial and efficient\nCentral Election Commission.', 'non-compliance with key\nprovisions of the Minsk agreements has led to a new\nescalation of tensions and a worsening situation in\nseveral regions of eastern Ukraine.']",no relation
3567,"[1715, 1835]","[""They have long been a part okaraine's political life, and have come to the forefront through the protest movements in recent months."", ""we welcome Ukraine's commitment\nto cooperating with Human Rights Watch and to a\nfurther investigation into those claims.""]",no relation
3568,"[3481, 3222]","['something that the Western media\nseem not to refer to.', 'We must\nmove forward if we want diplomatic dynamics to prevail\nover violence and chaos.']",no relation
3569,"[4286, 4383]","['its commitment\nto continue exerting efforts to enhance informal and\nalternative channels of communication to improve\nmutual understanding and trust is very welcome.', ""It is essential that the\ncomprehensive concept of security and the OSCE's\nrole be upheld.""]",no relation
3570,"[3723, 3498]","['Discussions held by the Security\nCouncil must play a constructive role in helping to ease\nthe situation in Ukraine.', 'we\ncall for objective investigation of the January tragedies\nin Volnovakha, Donetsk and Mariupol, as well as\nearlier tragedies, including in the Maidan, Odesa and\nMariupol.']",no relation
3571,"[1458, 1233]","['but they are also targeted and designed to have the maximum impact on the Russian calculus while limiting the impact on the Russian people and any spillover effects on our interests or those of our allies.', 'We are of course deeply concerned by all those developments, which further deteriorate the already delicate situation in eastern Ukraine.']",no relation
