Sentence,Label,Components
"At the recent Asia-Europe Meeting, President Vladimir Putin ofRussia once again clearly underscored our support for efforts to ensure full implementation of the Minsk agreements.",claim,"{'President Vladimir Putin ofRussia once again clearly underscored our support for efforts to ensure full implementation of the Minsk agreements.': ['claim', 143]}"
"At the same time, the Milan negotiations have shown that it is vital for the essence of the agreements to be upheld and for its implementation to occur in a certain sequence.",none,{}
A report of the United Nations human rights monitoring mission in Ukraine was mentioned today.,none,{}
"Unfortunately, once again, the report is very far from being objective.",claim,"{'the report is very far from being objective.': ['claim', 44]}"
"In fact, it was the Kyiv authorities that invited the mission in, and they have been guiding its activities.",premise,"{'it was the Kyiv authorities that invited the mission in, and they have been guiding its activities.': ['premise', 99]}"
"Nevertheless, certain facts that do not favour the Kyiv authorities cannot be ignored.",claim,"{'certain facts that do not favour the Kyiv authorities cannot be ignored.': ['claim', 72]}"
"One can't ignore the violations of the norms of international humanitarian law committed by the Kyiv security forces, blatant facts that include the disappearance of people, killings, looting, extortion and arbitrary detentions, all of which have been carried out by the Ukrainian military and other battalions under the control of the Kyiv authorities, specifically, the Aidar, Azov, Dnepr, Kyiv-l and Kyiv-2 battalions.",premise,"{""One can't ignore the violations of the norms of international humanitarian law committed by the Kyiv security forces, blatant facts that include the disappearance of people, killings, looting, extortion and arbitrary detentions, all of which have been carried out by the Ukrainian military and other battalions under the control of the Kyiv authorities, specifically, the Aidar, Azov, Dnepr, Kyiv-l and Kyiv-2 battalions."": ['premise', 421]}"
"At the same time, ordinary Ukrainians are being harshly detained under the pretext that they have been involved in terrorism.",claim,"{'ordinary Ukrainians are being harshly detained under the pretext that they have been involved in terrorism.': ['claim', 107]}"
"There is an alarming and growing number of civilian victims, including children, as the result of indiscriminate artillery fire in densely populated areas, as well as the use of heavy weapons, prohibited munitions, including cluster bombs and phosphorus munitions, and tactical rockets.",premise,"{'There is an alarming and growing number of civilian victims, including children, as the result of indiscriminate artillery fire in densely populated areas, as well as the use of heavy weapons, prohibited munitions, including cluster bombs and phosphorus munitions, and tactical rockets.': ['premise', 286]}"
"There has been a lack of progress in the investigation into the deaths of people on the ""Maidan"" and the tragedies in Odessa and Mariupol, as well as attempts to meddle with or conceal evidence.",premise,"{'There has been a lack of progress in the investigation into the deaths of people on the ""Maidan"" and the tragedies in Odessa and Mariupol, as well as attempts to meddle with or conceal evidence.': ['premise', 194]}"
It is essential to investigate objectively and thoroughly the graves of peaceable citizens found in Nyzhnia Krynka.,claim,"{'It is essential to investigate objectively and thoroughly the graves of peaceable citizens found in Nyzhnia Krynka.': ['claim', 115]}"
We also continue to be concerned about the investigation of the Malaysian Airline Boeing disaster: it is clearly not a coincidence that the crash site came under fire from Ukrainian positions on 13 October when the Dutch expert group and the observers of the Organization for Security and Cooperation in Europe (OSCE) were there.,claim,"{'it is clearly not a coincidence that the crash site came under fire from Ukrainian positions on 13 October when the Dutch expert group and the observers of the Organization for Security and Cooperation in Europe (OSCE) were there.': ['claim', 230]}"
The reporting in one of the statements we heard today of an unconfirmed version of what happened there is irresponsible.,premise,"{'The reporting in one of the statements we heard today of an unconfirmed version of what happened there is irresponsible.': ['premise', 120]}"
We still do not understand the nervous reaction of certain members of the Security Council to our proposal of 19 September calling for the investigation to be expanded and deepened.,none,{}
Crimea was mentioned again today.,none,{}
"During the years that the peninsula was forced to be part of Ukraine, many socioeconomic problems accumulated.",premise,"{'During the years that the peninsula was forced to be part of Ukraine, many socioeconomic problems accumulated.': ['premise', 110]}"
Russia will try to solve them in a systematic way.,claim,"{'Russia will try to solve them in a systematic way.': ['claim', 50]}"
That will not be affected by efforts on the part of the Kyiv authorities to take revenge on the population of Crimea for their decision to join Russia.,claim,"{'That will not be affected by efforts on the part of the Kyiv authorities to take revenge on the population of Crimea for their decision to join Russia.': ['claim', 151]}"
The Kyiv authorities have erected all kinds of obstacles and have been  broadcasting anti-Crimean propaganda in an unbridled manner.,claim,"{'The Kyiv authorities have erected all kinds of obstacles and have been  broadcasting anti-Crimean propaganda in an unbridled manner.': ['claim', 132]}"
"Unfortunately, instead of working collectively to analyse the very severe problems in Ukraine and attempting to resolve the situation, some members of the Security Council have, as is their custom, expressed unqualified support for all of the actions of the Kyiv authorities, even though the latter represent the party of war.",claim,"{'some members of the Security Council have, as is their custom, expressed unqualified support for all of the actions of the Kyiv authorities, even though the latter represent the party of war.': ['claim', 191]}"
That support is based on their cynical geopolitical calculations that have nothing to do with the interests of the Ukrainian people.,claim,"{'That support is based on their cynical geopolitical calculations that have nothing to do with the interests of the Ukrainian people.': ['claim', 132]}"
"What everyone, including the Security Council, should in fact be doing is to help the parties to the conflict to maintain complete observance of the ceasefire, prevent bloodshed, and engage in an honest and fundamental national dialogue on issues of constitutional reform and rebuilding a Ukrainian State on a just and inclusive basis.",claim,"{'What everyone, including the Security Council, should in fact be doing is to help the parties to the conflict to maintain complete observance of the ceasefire, prevent bloodshed, and engage in an honest and fundamental national dialogue on issues of constitutional reform and rebuilding a Ukrainian State on a just and inclusive basis.': ['claim', 335]}"
It is essential that a clear signal be sent in support of those who are in favour of the peaceful resolution of the situation in Ukraine based on the Geneva document and the Minsk agreements.,premise,"{'It is essential that a clear signal be sent in support of those who are in favour of the peaceful resolution of the situation in Ukraine based on the Geneva document and the Minsk agreements.': ['premise', 191]}"
"Mr. Pavlichenko (Ukraine): I thank you for convening this important meeting, Madam President.",none,{}
I would also like to thank Assistant Secretary-General Fernandez-Taranco and Assistant Secretary-General Simonovie for their briefings today.,none,{}
We continue to welcome the reports of the United Nations Human Rights Monitoring Mission in Ukraine and the assistance of the United Nations.,none,{}
"We are fully committed to protecting and promoting the human rights of all Ukrainian citizens, including those who live in the temporarily occupied Ukrainian territory of Crimea and the city of Sevastopol.",claim,"{'We are fully committed to protecting and promoting the human rights of all Ukrainian citizens, including those who live in the temporarily occupied Ukrainian territory of Crimea and the city of Sevastopol.': ['claim', 205]}"
We have taken careful note of the issues raised by Mr. Simonovie in the Monitoring Mission's latest report and will continue to work closely with his team.,none,{}
"In order to ensure the proper protection of civil rights and to eliminate the remnants of the totalitarian economy and the injustices of Yanukovych's rule, Ukraine needs comprehensive reforms.",premise,"{""In order to ensure the proper protection of civil rights and to eliminate the remnants of the totalitarian economy and the injustices of Yanukovych's rule"": ['premise', 154], 'Ukraine needs comprehensive reforms.': ['premise', 36]}"
"To that end, President Poroshenko has launched a reform strategy for 2020.",premise,"{'To that end, President Poroshenko has launched a reform strategy for 2020.': ['premise', 74]}"
"Its eight priority areas are reform of the judiciary and the fight against corruption, reform of law enforcement bodies, deregulation and development of entrepreneurship, tax reform, decentralization of power and good governance, security and defence-sector reform, and health-care reform.",premise,"{'Its eight priority areas are reform of the judiciary and the fight against corruption, reform of law enforcement bodies, deregulation and development of entrepreneurship, tax reform, decentralization of power and good governance, security and defence-sector reform, and health-care reform.': ['premise', 289]}"
Last week Parliament passed a package of anti-corruption measures and legislation aimed at strengthening the rule of law.,claim,"{'Last week Parliament passed a package of anti-corruption measures and legislation aimed at strengthening the rule of law.': ['claim', 121]}"
The President also signed a decree initiating work on developing a national human rights strategy.,claim,"{'The President also signed a decree initiating work on developing a national human rights strategy.': ['claim', 98]}"
The reforms were drafted in close cooperation with civil society and are public-inspired and people-oriented.,claim,"{'The reforms were drafted in close cooperation with civil society and are public-inspired and people-oriented.': ['claim', 109]}"
Further measures will follow.,none,{}
"But even as we work to build a better future, we continue to make it absolutely clear that all crimes, particularly those relating to violations of human rights and fundamental freedoms, must be fully investigated, and those responsible brought to justice.",claim,"{'But even as we work to build a better future, we continue to make it absolutely clear that all crimes, particularly those relating to violations of human rights and fundamental freedoms, must be fully investigated, and those responsible brought to justice.': ['claim', 256]}"
That applies to the killings in the Maidan in February as much as it does to the tragedy in Odessa on 2 May.,premise,"{'That applies to the killings in the Maidan in February as much as it does to the tragedy in Odessa on 2 May.': ['premise', 108]}"
The first cases connected to those tragic events are already before the courts.,premise,"{'The first cases connected to those tragic events are already before the courts.': ['premise', 79]}"
"Last week, Human Rights Watch published a report suggesting that the Ukrainian armed forces may have used cluster munitions in Donetsk.",premise,"{'Last week, Human Rights Watch published a report suggesting that the Ukrainian armed forces may have used cluster munitions in Donetsk.': ['premise', 135]}"
Our forces have never used cluster munitions or any other prohibited weapons.,premise,"{'Our forces have never used cluster munitions or any other prohibited weapons.': ['premise', 77]}"
"The Organization for Security and Cooperation in Europe (OSCE) confirmed on Wednesday that there is no evidence that Ukrainian forces have used such weapons, but we have nothing to hide and are ready for an open and transparent investigation.",premise,"{'The Organization for Security and Cooperation in Europe (OSCE) confirmed on Wednesday that there is no evidence that Ukrainian forces have used such weapons, but we have nothing to hide and are ready for an open and transparent investigation.': ['premise', 242]}"
The latest report of the United Nations Human Rights Monitoring Mission presents further details of the appalling human-rights situation in the areas under militant control in eastern Ukraine.,premise,"{'The latest report of the United Nations Human Rights Monitoring Mission presents further details of the appalling human-rights situation in the areas under militant control in eastern Ukraine.': ['premise', 192]}"
"It highlights the role of foreign militants, particularly those from the Russian Federation, and the continuing grave human- rights violations committed by illegal armed groups.",claim,"{'It highlights the role of foreign militants, particularly those from the Russian Federation, and the continuing grave human- rights violations committed by illegal armed groups.': ['claim', 177]}"
"As the report makes clear, those groups are terrorizing Ukrainian citizens in the areas under their control.",premise,"{'As the report makes clear, those groups are terrorizing Ukrainian citizens in the areas under their control.': ['premise', 108]}"
"They resort to daily acts of abuse, including torture, killings and kidnappings.",premise,"{'They resort to daily acts of abuse, including torture, killings and kidnappings.': ['premise', 80]}"
"The report details, for example, the introduction of a criminal code, based on that of the Russian Federation, providing for the establishment of military tribunals and the use of the death penalty.",premise,"{'The report details, for example, the introduction of a criminal code, based on that of the Russian Federation, providing for the establishment of military tribunals and the use of the death penalty.': ['premise', 198]}"
We utterly condemn such violations of basic human rights.,claim,"{'We utterly condemn such violations of basic human rights.': ['claim', 57]}"
"These are Ukrainians, and their rights are being abused by the militant groups who claim to be protecting them.",claim,"{'These are Ukrainians, and their rights are being abused by the militant groups who claim to be protecting them.': ['claim', 111]}"
The latest report also draws attention to cases of Ukrainian citizens' capture and subsequent illegal transfer to Russia.,premise,"{""The latest report also draws attention to cases of Ukrainian citizens' capture and subsequent illegal transfer to Russia."": ['premise', 121]}"
"One such is the case of a Ukrainian servicewoman, Nadiya Savchenko, who was kidnapped in July on Ukrainian territory by Russian security services and is currently being kept under illegal arrest in Russia.",premise,"{'One such is the case of a Ukrainian servicewoman, Nadiya Savchenko, who was kidnapped in July on Ukrainian territory by Russian security services and is currently being kept under illegal arrest in Russia.': ['premise', 205]}"
"The Russian law-enforcement agencies and courts have handled her case in a very untransparent way, with numerous violations of her rights.",premise,"{'The Russian law-enforcement agencies and courts have handled her case in a very untransparent way, with numerous violations of her rights.': ['premise', 138]}"
The Ukrainian film director Oleg Sentsov is also being illegally held captive.,premise,"{'The Ukrainian film director Oleg Sentsov is also being illegally held captive.': ['premise', 78]}"
"Russia refuses to grant Ukrainian consular access to Mr. Sentsov because, since he is a resident of Crimea, they now falsely claim, without his permission, that he is a Russian citizen, in a grave violation of his rights as a citizen of Ukraine, as well as contrary to Ukrainian legislation and internationally recognized legal standards.",premise,"{'Russia refuses to grant Ukrainian consular access': ['claim', 49], 'since he is a resident of Crimea, they now falsely claim, without his permission, that he is a Russian citizen, in a grave violation of his rights as a citizen of Ukraine, as well as contrary to Ukrainian legislation and internationally recognized legal standards.': ['premise', 264]}"
"Moreover, according to information the Government of Ukraine has received, both captives have been ill treated in Russian prisons.",premise,"{'Moreover, according to information the Government of Ukraine has received, both captives have been ill treated in Russian prisons.': ['premise', 130]}"
We continue to be gravely concerned about the massive and systematic violations of human rights in illegally occupied Crimea.,claim,"{'We continue to be gravely concerned about the massive and systematic violations of human rights in illegally occupied Crimea.': ['claim', 125]}"
"In complete violation of international law, Russia has forcibly imposed its national legislation there.",premise,"{'In complete violation of international law, Russia has forcibly imposed its national legislation there.': ['premise', 103]}"
Occupation authorities have also encouraged criminal acts against Crimean Tatars and others belonging to national minorities and religious groups.,premise,"{'Occupation authorities have also encouraged criminal acts against Crimean Tatars and others belonging to national minorities and religious groups.': ['premise', 146]}"
"The Russian authorities have refused to facilitate proper investigations or even to comment on the killings and abductions of pro-Ukrainian and Crimean Tatar activists, who include Reshat Ametov, Tymur Shaymardanov, Seyran Zinedine, Leonid Korzh and Vasyl Chernysh.",premise,"{'The Russian authorities have refused to facilitate proper investigations or even to comment on the killings and abductions of pro-Ukrainian and Crimean Tatar activists, who include Reshat Ametov, Tymur Shaymardanov, Seyran Zinedine, Leonid Korzh and Vasyl Chernysh.': ['premise', 265]}"
"They have prevented the Tatar leaders Mustafa Jemilev and Rifat Chubarov from travelling to the Crimean peninsula, their historical native land.",premise,"{'They have prevented the Tatar leaders Mustafa Jemilev and Rifat Chubarov from travelling to the Crimean peninsula, their historical native land.': ['premise', 144]}"
"Illegal detentions, torture, property searches, confiscations, and pressures on business and social activity groups have become daily realities for the residents of Crimea.",premise,"{'Illegal detentions, torture, property searches, confiscations, and pressures on business and social activity groups have become daily realities for the residents of Crimea.': ['premise', 172]}"
"We demand that Russia, as the temporary occupier of Crimea, stop violating the rights of our citizens.",claim,"{'We demand that Russia, as the temporary occupier of Crimea, stop violating the rights of our citizens.': ['claim', 102]}"
At a minimum the situation there must be internationally monitored on a constant basis.,claim,"{'At a minimum the situation there must be internationally monitored on a constant basis.': ['claim', 87]}"
We welcome the continuing commitment of the United Nations to ensuring that those suffering in Crimea are not forgotten.,claim,"{'We welcome the continuing commitment of the United Nations to ensuring that those suffering in Crimea are not forgotten.': ['claim', 120]}"
"As President Poroshenko has repeatedly stated, Ukraine is fully committed to a peaceful settlement of the situation in the east of our country.",claim,"{'As President Poroshenko has repeatedly stated, Ukraine is fully committed to a peaceful settlement of the situation in the east of our country.': ['claim', 143]}"
"That situation was not of our making, but we are striving to end the bloodshed.",claim,"{'That situation was not of our making, but we are striving to end the bloodshed.': ['claim', 79]}"
"Our commitment to finding a peaceful solution resulted in the signing of the Minsk protocol and the Minsk memorandum amoong Ukraine, the OSCE and the Russian Federation, with the participation of representatives of militant groups.",claim,"{'Our commitment to finding a peaceful solution resulted in the signing of the Minsk protocol and the Minsk memorandum amoong Ukraine, the OSCE and the Russian Federation, with the participation of representatives of militant groups.': ['claim', 231]}"
"Immediately after the signing of the Minsk  protocol, the Ukrainian Government moved quickly to implement the agreement.",premise,"{'Immediately after the signing of the Minsk  protocol, the Ukrainian Government moved quickly to implement the agreement.': ['premise', 120]}"
Our Parliament adopted a law on interim local self-government in certain districts of the Donetsk and Luhansk regions and set the date for local elections.,premise,"{'Our Parliament adopted a law on interim local self-government in certain districts of the Donetsk and Luhansk regions and set the date for local elections.': ['premise', 155]}"
It also adopted a law granting amnesty to those involved in the recent unrest.,premise,"{'It also adopted a law granting amnesty to those involved in the recent unrest.': ['premise', 78]}"
"We entered into talks regarding hostage exchanges, resulting in over 1,000 people being freed.",premise,"{'We entered into talks regarding hostage exchanges, resulting in over 1,000 people being freed.': ['premise', 94]}"
"We continued to provide humanitarian relief, working in close partnership with United Nations agencies and other international organizations, and the new law, adopted on Monday, on the temporary status of internally displaced persons will further facilitate our humanitarian efforts.",premise,"{'We continued to provide humanitarian relief, working in close partnership with United Nations agencies and other international organizations, and the new law, adopted on Monday, on the temporary status of internally displaced persons will further facilitate our humanitarian efforts.': ['premise', 283]}"
"We prepared a plan for economic renewal and growth, including plans for the economic revival of the Donbas region, and have called for a donor conference later this year.",premise,"{'We prepared a plan for economic renewal and growth, including plans for the economic revival of the Donbas region, and have called for a donor conference later this year.': ['premise', 170]}"
We have rendered all possible assistance to the OSCE Special Monitoring Mission in order to create conditions for its experts to verify the ceasefire.,premise,"{'We have rendered all possible assistance to the OSCE Special Monitoring Mission in order to create conditions for its experts to verify the ceasefire.': ['premise', 150]}"
"We fully support current efforts to step up those monitoring efforts, as demanded under articles 2 and 4 of the Minsk protocol, particularly along the Ukrainian- Russian border.",claim,"{'We fully support current efforts to step up those monitoring efforts, as demanded under articles 2 and 4 of the Minsk protocol, particularly along the Ukrainian- Russian border.': ['claim', 177]}"
"At present, only two border crossings are monitored by the OSCE.",none,{}
That is clearly insufficient.,claim,"{'That is clearly insufficient.': ['claim', 29]}"
"Unfortunately, on Wednesday, our proposal to expand the monitoring of the border was blocked by the Russian Federation in the OSCE.",none,{}
"It is of grave concern that, despite being a signatory to the agreement, Russia refuses to undertake tangible steps to implement it.",premise,"{'It is of grave concern that, despite being a signatory to the agreement, Russia refuses to undertake tangible steps to implement it.': ['premise', 132]}"
"It is clear that that is simply a cynical attempt to maintain the daily flows of arms, weaponry and militants from Russia to Ukraine.",claim,"{'It is clear that that is simply a cynical attempt to maintain the daily flows of arms, weaponry and militants from Russia to Ukraine.': ['claim', 133]}"
"We have strictly observed the ceasefire regime, the details ofwhich are specified in the Minsk memorandum.",claim,"{'We have strictly observed the ceasefire regime, the details ofwhich are specified in the Minsk memorandum.': ['claim', 106]}"
"Since its signature, the Ukrainian Armed Forces have not undertaken offensive operations and have used their weapons only to defend themselves.",premise,"{'Since its signature, the Ukrainian Armed Forces have not undertaken offensive operations and have used their weapons only to defend themselves.': ['premise', 143]}"
"Regrettably, our goodwill has not been reciprocated.",claim,"{'our goodwill has not been reciprocated.': ['claim', 39]}"
"Militant leaders have openly stated their intentions to violate the terms of the ceasefire and their aim of capturing new territories, including the cities of Mariupol and Sloviansk.",premise,"{'Militant leaders have openly stated their intentions to violate the terms of the ceasefire and their aim of capturing new territories, including the cities of Mariupol and Sloviansk.': ['premise', 182]}"
"Fierce fighting has been occurring around Donetsk airport and the outskirts of the towns of Debaltseve and Shchastya, where the militants are trying to extend the area under their control.",premise,"{'Fierce fighting has been occurring around Donetsk airport and the outskirts of the towns of Debaltseve and Shchastya, where the militants are trying to extend the area under their control': ['premise', 187]}"
It is a tragedy that Ukrainian citizens continue to lose their lives.,claim,"{'It is a tragedy that Ukrainian citizens continue to lose their lives.': ['claim', 69]}"
"Since the truce started, the positions of the Ukrainian Armed Forces have been shelled over two thousand times.",premise,"{'Since the truce started, the positions of the Ukrainian Armed Forces have been shelled over two thousand times.': ['premise', 111]}"
"As a result of those attacks, 89 Ukrainian servicemen have been killed and 500 wounded.",premise,"{'As a result of those attacks, 89 Ukrainian servicemen have been killed and 500 wounded.': ['premise', 87]}"
"At least 54 Ukrainian civilians have been killed as a result of separatist shelling, including 7 killed by separatist rocket fire near the village of Sartana last week.",premise,"{'At least 54 Ukrainian civilians have been killed as a result of separatist shelling, including 7 killed by separatist rocket fire near the village of Sartana last week.': ['premise', 168]}"
"If the Minsk agreements are to succeed, all parties must live up to one hundred per cent of their commitments.",claim,"{'all parties must live up to one hundred per cent of their commitments.': ['claim', 70]}"
"The militants, together with Russian troops that continue to remain on our soil, must cease their offensive military actions and end the shelling of civilian areas.",premise,"{'The militants, together with Russian troops that continue to remain on our soil, must cease their offensive military actions and end the shelling of civilian areas.': ['premise', 164]}"
All foreign military personnel must leave the territory of Ukraine.,premise,"{'All foreign military personnel must leave the territory of Ukraine.': ['premise', 67]}"
"The Russian Federation must cease its illegal supplies of weapons and equipment, limit the flow of so-called volunteers across our sovereign border and allow us to re-establish proper controls.",premise,"{'The Russian Federation must cease its illegal supplies of weapons and equipment, limit the flow of so-called volunteers across our sovereign border and allow us to re-establish proper controls.': ['premise', 193]}"
"Unfortunately, what we are now seeing is the continuation of a military build-up by Russia along our border and in north Crimea.",premise,"{'Unfortunately, what we are now seeing is the continuation of a military build-up by Russia along our border and in north Crimea.': ['premise', 128]}"
The illegal militant groups have been able to strengthen their military capabilities and are now threatening to seize other cities of Ukraine by further offensive military actions.,premise,"{'The illegal militant groups have been able to strengthen their military capabilities and are now threatening to seize other cities of Ukraine by further offensive military actions.': ['premise', 180]}"
"In making those calls, we are simply urging Russia and its pro-Russian separatist allies to live up to the agreements they freely entered into.",claim,"{'we are simply urging Russia and its pro-Russian separatist allies to live up to the agreements they freely entered into.': ['claim', 120]}"
"In particular, we warn them to refrain from any provocations aimed at disrupting the coming elections.",claim,"{'we warn them to refrain from any provocations aimed at disrupting the coming elections.': ['claim', 87]}"
"This Sunday, national parliamentary elections will be held across Ukraine.",none,{}
"Local elections in the Donbas region envisaged by the Minsk protocol are scheduled for December The leadership of Ukraine will do its utmost to ensure their fair and transparent conduct, in full compliance with international democratic standards and the legislation of Ukraine.",none,{}
Both those votes are an integral part of the peace process and are vital for an inclusive dialogue at the national level.,claim,"{'Both those votes are an integral part of the peace process and are vital for an inclusive dialogue at the national level.': ['claim', 121]}"
They will identify parliamentary representatives from all regions of Ukraine and legitimate local representatives in the Donbas.,premise,"{'They will identify parliamentary representatives from all regions of Ukraine and legitimate local representatives in the Donbas.': ['premise', 128]}"
"As of today, due to the security situation in the east, parliamentary elections can be held in 11 of 21 constituencies of the Donetsk region and in 4 of 11 constituencies of the Luhansk region.",none,{}
But it is important that everyone's voice is heard.,premise,"{""But it is important that everyone's voice is heard."": ['premise', 51]}"
"Therefore, we urge that free and secure access to polling stations be granted to those Ukrainian citizens who reside in the areas that remain under militant control.",claim,"{'Therefore, we urge that free and secure access to polling stations be granted to those Ukrainian citizens who reside in the areas that remain under militant control.': ['claim', 165]}"
We call on Russia to unequivocally condemn the attempts by the illegal armed groups to hold their own local elections on 2 November.,claim,"{'We call on Russia to unequivocally condemn the attempts by the illegal armed groups to hold their own local elections on 2 November.': ['claim', 132]}"
"Moscow must make clear to the militant authorities that that effort will hinder the peace process and that the results of that illegal vote, organized in violation of Ukrainian legislation, will never be recognized.",claim,"{'Moscow must make clear to the militant authorities that that effort will hinder the peace process and that the results of that illegal vote, organized in violation of Ukrainian legislation, will never be recognized.': ['claim', 215]}"
"Since the beginning of this year, Ukraine has suffered immense upheaval.",claim,"{'Ukraine has suffered immense upheaval.': ['claim', 38]}"
Our territory has been illegally occupied and our borders violated.,premise,"{'Our territory has been illegally occupied and our borders violated.': ['premise', 67]}"
"In pursuit of its own narrow self-interests, Russia has instigated a brutal insurgency in the Donbas region that has led to the loss of numerous lives, including the passengers of Flight MH-l7, shot down by a separatist missile.",claim,"{'Russia has instigated a brutal insurgency in the Donbas region that has led to the loss of numerous lives, including the passengers of Flight MH-l7, shot down by a separatist missile.': ['claim', 183]}"
International law has been trampled and the human rights of Ukrainian citizens abused.,claim,"{'International law has been trampled and the human rights of Ukrainian citizens abused.': ['claim', 86]}"
"In this difficult time we are grateful for the support shown by the United Nations, members of this Council, the European Union and the members of international community who have stood up for the Charter of the United Nations and the principles of this Organization.",none,{}
But the crisis in our country is not yet over.,premise,"{'But the crisis in our country is not yet over.': ['premise', 46]}"
We need he Council's help now more than ever to bring an end to the violence.,claim,"{""We need he Council's help now more than ever to bring an end to the violence."": ['claim', 77]}"
In September we engaged in arrangements with the hope of ending the bloodshed and ensuring sustainable peace.,claim,"{'In September we engaged in arrangements with the hope of ending the bloodshed and ensuring sustainable peace.': ['claim', 109]}"
To fulfil that goal the terms of the agreement must be implemented in full by all involved in the trilateral dialogue.,premise,"{'To fulfil that goal the terms of the agreement must be implemented in full by all involved in the trilateral dialogue.': ['premise', 118]}"
We urge the Council to hold all signatories to their commitments.,claim,"{'We urge the Council to hold all signatories to their commitments.': ['claim', 65]}"
"Mr. Churkin (Russian Federation) (spoke in Russian): I will not comment on the statement made by the representative of Ukraine in all its details because we have already heard, in 24 previous meetings, the same politicized, often anti-Russian statements.",none,{}
But I will just focus on three aspects of his statement and the statements of several other colleagues.,none,{}
"First, I believe that it is inappropriate to bring to the Security Council discussions that are ongoing in the Organization for Security and Cooperation in Europe (OSCE), particularly in regard to the implementation of the provisions of the Minsk agreements regarding border monitoring.",claim,"{'I believe that it is inappropriate to bring to the Security Council discussions that are ongoing in the Organization for Security and Cooperation in Europe (OSCE), particularly in regard to the implementation of the provisions of the Minsk agreements regarding border monitoring.': ['claim', 279]}"
"Since there have been accusations against Russia in that context, I wouldjust like to recall that the proposal to deploy OSCE observers at certain border crossing points was made by the Russian side in the context of the ceasefire.",none,{}
The ceasefire did not take place.,claim,"{'The ceasefire did not take place.': ['claim', 33]}"
"However, we went even further.",claim,"{'However, we went even further.': ['claim', 30]}"
"We said that, even in the absence of a ceasefire, we would be ready to deploy the observers on the Russian side of the Russian-Ukrainian border.",premise,"{'even in the absence of a ceasefire, we would be ready to deploy the observers on the Russian side of the Russian-Ukrainian border.': ['premise', 130]}"
"That was a significant gesture by the Russian Federation, and any criticism in that regard is unacceptable.",claim,"{'That was a significant gesture by the Russian Federation': ['claim', 56], 'any criticism in that regard is unacceptable': ['claim', 44]}"
"With regard to the issues being discussed by the OSCE in Vienna, I would like to recall that, as I noted in my statement, the Minsk protocol presupposes a certain sequence of steps that needs to be followed.",none,{}
"The sequence is first and foremost based on the implementation of the ceasefire, which unfortunately did not take place.",claim,"{'The sequence is first and foremost based on the implementation of the ceasefire, which unfortunately did not take place.': ['claim', 120]}"
The Ukrainian representative made a very important appeal for an end to the shelling of areas where civilians live.,none,{}
Why does he not direct his appeal to his own side?,none,{}
He mentioned the insurgents.,none,{}
He asserted that civilians are dying as a result of such shelling.,premise,"{'He asserted that civilians are dying as a result of such shelling.': ['premise', 66]}"
"If that is the case, that is of course very unfortunate.",claim,"{'that is of course very unfortunate.': ['claim', 35]}"
"However, civilians, sometimes as many as 19 people in one day, are dying in the Donbas region as a result of shells being fired by the Ukrainian Armed Forces.",claim,"{'civilians, sometimes as many as 19 people in one day, are dying in the Donbas region as a result of shells being fired by the Ukrainian Armed Forces.': ['claim', 149]}"
We note an interesting use of terms.,none,{}
"The representative of Ukraine says that its armed forces are not responsible, but what about the battalions under Ukrainian command?",premise,"{'The representative of Ukraine says that its armed forces are not responsible, but what about the battalions under Ukrainian command?': ['premise', 132]}"
It seems that they are under such command but the impression is that they are not.,claim,"{'It seems that they are under such command but the impression is that they are not.': ['claim', 82]}"
"Once again, our Ukrainian colleague could do no better than give an unverified version of events, according to which a separatist missile shot down the Malaysian Airlines flight.",premise,"{'our Ukrainian colleague could do no better than give an unverified version of events, according to which a separatist missile shot down the Malaysian Airlines flight.': ['premise', 166]}"
I want to reiterate that it is irresponsible to voice unverified accounts in the Security Council.,claim,"{'I want to reiterate that it is irresponsible to voice unverified accounts in the Security Council.': ['claim', 98]}"
"In that context, I have two questions: how and why did that happen?",none,{}
I will explain.,none,{}
"Everyone now knows that as soon as the tragedy occurred, rumours were circulated in Kyiv.",none,{}
False information that was supposed to affirm a particular version of events was given.,claim,"{'False information that was supposed to affirm a particular version of events was given.': ['claim', 87]}"
Why was that done?,none,{}
"Because if one has information, why not share it?",premise,"{'Because if one has information, why not share it?': ['premise', 49]}"
Why keep it secret?,premise,"{'Why keep it secret?': ['premise', 19]}"
That is just a very simple explanation.,none,{}
"In the preliminary report that they provided to us, the Dutch experts said that the air traffic control recordings were routine and contained nothing of value.",none,{}
"If they are routine, why not publish them just to demonstrate transparency?",none,{}
What is more serious is the fact that our experts have drawn up some 40 important questions that need to be answered in order to understand what happened.,premise,"{'What is more serious is the fact that our experts have drawn up some 40 important questions that need to be answered in order to understand what happened.': ['premise', 154]}"
The Ukrainian representative has made no attempt to reply to a single one of those questions.,premise,"{'The Ukrainian representative has made no attempt to reply to a single one of those questions.': ['premise', 93]}"
It is time for him to cease - in particular at Security Council meetings - his endless repetitions of unverified versions of events and to answer those questions.,claim,"{'It is time for him to cease - in particular at Security Council meetings - his endless repetitions of unverified versions of events and to answer those questions.': ['claim', 162]}"
We would then be able to have a serious discussion.,none,{}
"Otherwise, let us wait and try to conduct the investigation as seriously as possible, as we proposed on 19 September (see S/PV.7269).",none,{}
Mr. Quinlan (Australia): I will be extremely brief.,none,{}
